scholion URN 	 Critical Sign Present 	 grafei Present 	 initial hoti present 	 para Zenod present 	 Aristarchus or post-Aristarchan Name present 	 Topic 6 Score 	 Topic 9 Score
urn:cts:greekLit:tlg5026.msA.hmt:1.557.comment	true	false	false	false	false	"0.00606060606060606"	"0.00606060606060606"
urn:cts:greekLit:tlg5026.msA.hmt:1.558.comment	false	false	false	false	false	"0.00317460317460317"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.559.comment	false	false	false	false	false	"0.000985221674876847"	"0.000985221674876847"
urn:cts:greekLit:tlg5026.msA.hmt:1.560.comment	false	false	false	false	true	"0.288888888888889"	"0.000823045267489712"
urn:cts:greekLit:tlg5026.msA.hmt:1.561.comment	false	false	true	false	false	"0.733333333333333"	"0.0016260162601626"
urn:cts:greekLit:tlg5026.msA.hmt:1.562.comment	true	false	false	false	false	"0.0013986013986014"	"0.0013986013986014"
urn:cts:greekLit:tlg5026.msA.hmt:1.563.comment	true	false	false	false	false	"0.00273972602739726"	"0.00273972602739726"
urn:cts:greekLit:tlg5026.msA.hmt:1.594.comment	false	false	false	false	false	"0.00240963855421687"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.595.comment	true	false	false	false	false	"0.00240963855421687"	"0.00240963855421687"
urn:cts:greekLit:tlg5026.msA.hmt:1.596.comment	true	true	true	false	false	"0.934883720930233"	"0.00465116279069767"
urn:cts:greekLit:tlg5026.msA.hmt:1.597.comment	false	false	true	false	false	"0.13202614379085"	"0.00130718954248366"
urn:cts:greekLit:tlg5026.msA.hmt:1.598.comment	false	false	false	false	true	"0.00066006600660066"	"0.00066006600660066"
urn:cts:greekLit:tlg5026.msA.hmt:1.599.comment	false	true	true	false	false	"0.955555555555555"	"0.00317460317460317"
urn:cts:greekLit:tlg5026.msA.hmt:1.600.comment	false	false	true	false	false	"0.487378640776699"	"0.00194174757281553"
urn:cts:greekLit:tlg5026.msA.hmt:1.601.comment	false	false	false	false	true	"0.000600600600600601"	"0.000600600600600601"
urn:cts:greekLit:tlg5026.msA.hmt:1.602.comment	false	false	false	false	false	"0.0831275720164609"	"0.000823045267489712"
urn:cts:greekLit:tlg5026.msA.hmt:1.603.comment	false	false	false	false	true	"0.0021505376344086"	"0.0021505376344086"
urn:cts:greekLit:tlg5026.msA.hmt:1.604.comment	false	false	true	false	false	"0.109677419354839"	"0.0021505376344086"
urn:cts:greekLit:tlg5026.msA.hmt:1.605.comment	false	false	false	false	false	"0.0153846153846154"	"0.0153846153846154"
urn:cts:greekLit:tlg5026.msA.hmt:1.606.comment	false	false	false	false	false	"0.0153846153846154"	"0.0153846153846154"
urn:cts:greekLit:tlg5026.msA.hmt:1.607.comment	false	false	false	false	false	"0.00869565217391304"	"0.00869565217391304"
